fpr,tpr,threshold
0.0,0.0,inf
5.000050000500005e-06,0.0,1.0799799e-05
2.000020000200002e-05,0.0,1.0300264e-05
5.5000550005500056e-05,0.0,1.0003185e-05
0.00022500225002250023,0.0,9.968596e-06
0.00025500255002550024,0.0,9.933465e-06
0.0002750027500275003,0.0,9.93301e-06
0.0002850028500285003,0.0,9.915935e-06
0.0002900029000290003,0.0,9.898437e-06
0.00033500335003350034,0.0,9.793946e-06
0.00034000340003400035,0.0,9.719167e-06
0.0017050170501705017,0.0,9.5945015e-06
0.0017150171501715016,0.0,9.589671e-06
0.0017200172001720017,0.0,9.560834e-06
0.0017450174501745018,0.0,9.522525e-06
0.0017500175001750017,0.0,9.234454e-06
0.0019150191501915018,0.0,9.233926e-06
0.0019350193501935019,0.0,9.2270775e-06
0.001950019500195002,0.0,9.225792e-06
0.001975019750197502,0.0,9.22391e-06
0.002015020150201502,0.0,9.220902e-06
0.002035020350203502,0.0,9.217658e-06
0.002045020450204502,0.0,9.215329e-06
0.002055020550205502,0.0,9.213097e-06
0.0020650206502065022,0.0,9.212218e-06
0.002075020750207502,0.0,9.209644e-06
0.002165021650216502,0.0,9.203498e-06
0.002760027600276003,0.0,9.201401e-06
0.0027750277502775027,0.0,9.187467e-06
0.002795027950279503,0.0,9.185154e-06
0.002800028000280003,0.0,9.18258e-06
0.002830028300283003,0.0,9.181906e-06
0.0028450284502845027,0.0,9.174133e-06
0.002890028900289003,0.0,9.166673e-06
0.003015030150301503,0.0,9.161901e-06
0.003030030300303003,0.0,9.150899e-06
0.003040030400304003,0.0,9.146188e-06
0.0030550305503055032,0.0,9.138463e-06
0.003110031100311003,0.0,9.134429e-06
0.003120031200312003,0.0,9.125287e-06
0.003140031400314003,0.0,9.117997e-06
0.0031550315503155032,0.0,9.110235e-06
0.003185031850318503,0.0,9.107039e-06
0.0031950319503195033,0.0,9.105093e-06
0.0032000320003200034,0.0,9.104164e-06
0.003220032200322003,0.0,9.099243e-06
0.0032250322503225032,0.0,9.093378e-06
0.0032350323503235034,0.0,9.088835e-06
0.003255032550325503,0.0,9.088107e-06
0.0032700327003270034,0.0,9.082216e-06
0.003280032800328003,0.0,9.070945e-06
0.003285032850328503,0.0,9.063716e-06
0.0032950329503295033,0.0,9.046359e-06
0.0033000330003300033,0.0,9.036693e-06
0.004020040200402004,0.0,9.013265e-06
0.004045040450404504,0.0,8.971134e-06
0.004060040600406004,0.0,8.937591e-06
0.004505045050450504,0.0,8.934745e-06
0.004510045100451004,0.0,8.924304e-06
0.004520045200452004,0.0,8.918773e-06
0.0045400454004540045,0.0,8.891953e-06
0.004555045550455505,0.0,8.887486e-06
0.004560045600456005,0.0,8.871895e-06
0.004600046000460004,0.0,8.862543e-06
0.004615046150461505,0.0,8.845959e-06
0.004620046200462005,0.0,8.836212e-06
0.004695046950469505,0.0,8.825265e-06
0.004765047650476505,0.0,8.795437e-06
0.004775047750477505,0.0,8.775613e-06
0.004965049650496505,0.0,8.761932e-06
0.004975049750497505,0.0,8.741175e-06
0.004985049850498505,0.0,8.7383505e-06
0.004990049900499005,0.0,8.729521e-06
0.005020050200502005,0.0,8.70283e-06
0.005035050350503505,0.0,8.633796e-06
0.005050050500505005,0.0,8.616982e-06
0.005065050650506505,0.0,8.5841575e-06
0.005420054200542005,0.0,8.4927715e-06
0.005440054400544006,0.0,8.355723e-06
0.005460054600546005,0.0,8.3072255e-06
0.005515055150551506,0.0,8.261481e-06
0.005530055300553006,0.0,8.126701e-06
0.005660056600566006,0.0,8.1108055e-06
0.005665056650566506,0.0,8.052853e-06
0.005675056750567506,0.0,8.001396e-06
0.005680056800568005,0.0,7.971121e-06
0.005710057100571006,0.0,7.91844e-06
0.005730057300573006,0.0,7.854527e-06
0.0057650576505765055,0.0,7.803771e-06
0.005795057950579506,0.0,7.787222e-06
0.005800058000580006,0.0,7.762479e-06
0.005810058100581006,0.0,7.755124e-06
0.005825058250582505,0.0,7.725473e-06
0.0058350583505835055,0.0,7.708935e-06
0.005855058550585506,0.0,7.653249e-06
0.005865058650586506,0.0,7.575312e-06
0.005870058700587006,0.0,7.5373214e-06
0.005890058900589006,0.0,7.5212374e-06
0.005910059100591006,0.0,7.4344916e-06
0.006390063900639007,0.0,7.188174e-06
0.006425064250642506,0.0,6.8602485e-06
0.006435064350643506,0.0,6.8282916e-06
0.006470064700647007,0.0,6.7712845e-06
0.006475064750647507,0.0,6.766682e-06
0.006485064850648506,0.0,6.7411756e-06
0.006505065050650506,0.0,6.6094162e-06
0.006535065350653507,0.0,6.529985e-06
0.006540065400654007,0.0,6.486235e-06
0.006575065750657506,0.0,6.4623036e-06
0.006900069000690007,0.0,6.444825e-06
0.006915069150691507,0.0,6.430238e-06
0.006980069800698007,0.0,6.299105e-06
0.006985069850698507,0.0,6.289477e-06
0.007005070050700507,0.0,6.2798035e-06
0.007025070250702507,0.0,6.2197128e-06
0.007035070350703507,0.0,6.1703518e-06
0.007095070950709507,0.0,6.157543e-06
0.007105071050710507,0.0,6.1526002e-06
0.007120071200712007,0.0,6.0697043e-06
0.007170071700717007,0.0,6.053726e-06
0.007180071800718007,0.0,6.0205284e-06
0.007355073550735508,0.0,5.9859267e-06
0.007365073650736507,0.0,5.9601903e-06
0.007395073950739507,0.0,5.787767e-06
0.007420074200742008,0.0,5.726211e-06
0.007425074250742508,0.0,5.6795743e-06
0.007445074450744507,0.0,5.668033e-06
0.007455074550745507,0.0,5.44027e-06
0.007735077350773507,0.0,5.314855e-06
0.007785077850778508,0.0,5.3118397e-06
